,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
2,rsctc2010_3,77.72m,AutoSK,AutoSK,0.915954415954416,0.9166666666666666,"(95, 22277)"
0,airlines,61.02m,AutoFeat,AutoSK,0.620787993135954,0.621716624890616,"(539383, 7)"
1,airlines,61.02m,None,AutoSK,0.620978441318301,0.6219242691663083,"(539383, 7)"
2,airlines,61.02m,AutoSK,AutoSK,0.6570491934659599,0.6610874627352684,"(539383, 7)"
0,dbworld-bodies,61.08m,AutoFeat,AutoSK,0.9377450980392157,0.9375,"(64, 7)"
1,dbworld-bodies,61.08m,None,AutoSK,0.875,0.875,"(64, 4702)"
2,dbworld-bodies,61.08m,AutoSK,AutoSK,0.6838235294117647,0.6875,"(64, 4702)"
0,sonar,60.02m,AutoFeat,AutoSK,0.8447699227309422,0.8461538461538461,"(208, 9)"
1,sonar,60.02m,None,AutoSK,0.7486002239641658,0.75,"(208, 60)"
2,sonar,60.02m,AutoSK,AutoSK,0.8246414602346805,0.8269230769230769,"(208, 60)"
0,AP_Omentum_Ovary,63.97m,AutoFeat,AutoSK,0.8662144710358227,0.8695652173913043,"(275, 14)"
1,AP_Omentum_Ovary,63.97m,None,AutoSK,0.8157584103875664,0.8260869565217391,"(275, 10936)"
2,AP_Omentum_Ovary,63.97m,AutoSK,AutoSK,0.8109105824446268,0.8260869565217391,"(275, 10936)"
0,vehicle_sensIT,62.75m,AutoFeat,AutoSK,0.8676076507976059,0.8679360181877233,"(98528, 55)"
1,vehicle_sensIT,62.75m,None,AutoSK,0.8672032803516686,0.8674894446248782,"(98528, 100)"
2,vehicle_sensIT,62.75m,AutoSK,AutoSK,0.8672032803516686,0.8674894446248782,"(98528, 100)"
0,dbworld-bodies-stemmed,60.85m,AutoFeat,AutoSK,0.875,0.875,"(64, 8)"
1,dbworld-bodies-stemmed,60.85m,None,AutoSK,0.8750000000000001,0.875,"(64, 3721)"
2,dbworld-bodies-stemmed,60.85m,AutoSK,AutoSK,0.8132352941176471,0.8125,"(64, 3721)"
0,lymphoma_2classes,60.95m,AutoFeat,AutoSK,1.0,1.0,"(45, 7)"
1,lymphoma_2classes,60.95m,None,AutoSK,0.7517482517482517,0.75,"(45, 4026)"
2,lymphoma_2classes,60.95m,AutoSK,AutoSK,0.7517482517482517,0.75,"(45, 4026)"
0,micro-mass,61.18m,AutoFeat,AutoSK,0.731939723743508,0.7482517482517482,"(571, 48)"
1,micro-mass,61.18m,None,AutoSK,0.8478514949103184,0.8531468531468531,"(571, 1300)"
2,micro-mass,61.18m,AutoSK,AutoSK,0.8762843220392637,0.8811188811188811,"(571, 1300)"
0,GCM,69.8m,AutoFeat,AutoSK,0.40492424242424246,0.3958333333333333,"(190, 21)"
1,GCM,69.8m,None,AutoSK,0.7156352419510315,0.7291666666666666,"(190, 16063)"
2,GCM,69.8m,AutoSK,AutoSK,0.7633928571428572,0.7708333333333334,"(190, 16063)"
